,solved,train episodes,training time,mean evaluation rewards,median evaluation rewards,well landed eval. episodes,landed eval. episodes,crashed eval. episodes,LEARNING RATE,DNN UPD FREQ,DNN SYNC FREQ,BATCH SIZE,MAX EPISODES
0,True,337,4.14,82.3,232.64,61,5,34,0.001,1,1000,16,1000
1,True,428,5.79,205.36,244.06,75,12,13,0.001,1,2000,16,1000
2,True,302,2.56,201.36,239.37,75,3,22,0.001,3,1000,16,1000
3,True,541,5.33,131.38,201.85,51,19,30,0.001,3,2000,16,1000
4,True,311,3.66,238.6,254.91,85,10,5,0.0005,1,1000,16,1000
5,True,490,7.13,217.8,252.83,80,8,12,0.0005,1,2000,16,1000
6,True,298,2.91,200.78,249.29,72,4,24,0.0005,3,1000,16,1000
7,True,664,6.91,244.35,255.49,92,4,4,0.0005,3,2000,16,1000
8,True,295,4.97,222.42,230.53,81,17,2,0.0001,1,1000,16,1000
9,True,405,7.0,204.27,209.87,59,32,9,0.0001,1,2000,16,1000
10,False,1000,16.99,85.27,100.86,34,16,50,0.0001,3,1000,16,1000
11,False,1000,14.6,-31.79,-33.44,0,0,100,0.0001,3,2000,16,1000
12,True,265,3.1,238.04,258.98,87,7,6,0.001,1,1000,32,1000
13,True,384,6.02,224.71,245.78,81,13,6,0.001,1,2000,32,1000
14,True,236,1.9,181.96,229.75,68,17,15,0.001,3,1000,32,1000
15,True,670,5.82,204.52,244.41,68,23,9,0.001,3,2000,32,1000
16,True,324,4.08,175.52,227.27,68,6,26,0.0005,1,1000,32,1000
17,True,407,6.59,165.04,239.04,63,11,26,0.0005,1,2000,32,1000
18,True,297,3.23,13.1,35.84,26,1,73,0.0005,3,1000,32,1000
19,True,334,4.32,235.33,251.47,86,10,4,0.0005,3,2000,32,1000
20,True,286,5.58,250.18,255.62,93,4,3,0.0001,1,1000,32,1000
21,True,299,5.57,205.64,214.49,68,27,5,0.0001,1,2000,32,1000
22,True,595,7.91,249.84,258.2,95,1,4,0.0001,3,1000,32,1000
23,True,547,8.43,262.3,261.96,99,1,0,0.0001,3,2000,32,1000
24,False,1000,10.08,187.85,253.67,70,8,22,0.001,1,1000,64,1000
25,True,601,7.49,235.66,263.16,84,7,9,0.001,1,2000,64,1000
26,True,459,3.7,199.52,250.44,78,7,15,0.001,3,1000,64,1000
27,True,454,4.21,243.75,250.55,92,6,2,0.001,3,2000,64,1000
28,True,383,5.74,265.23,267.68,98,0,2,0.0005,1,1000,64,1000
29,True,482,8.39,210.05,257.46,79,2,19,0.0005,1,2000,64,1000
30,True,304,3.15,239.14,252.18,91,5,4,0.0005,3,1000,64,1000
31,True,369,4.59,126.65,55.87,39,3,58,0.0005,3,2000,64,1000
32,True,331,6.49,235.76,248.86,88,9,3,0.0001,1,1000,64,1000
33,True,411,11.29,240.09,249.37,86,12,2,0.0001,1,2000,64,1000
34,True,374,5.8,212.92,251.39,79,5,16,0.0001,3,1000,64,1000
35,True,469,6.7,243.01,251.92,89,9,2,0.0001,3,2000,64,1000
